ID	char	pua	romanized	symbol
RJ-C943	匚	U+10C943	a	
RJ-C944	厂	U+10C944	ā	
RJ-C946	丌	U+10C946	aḥ	
RJ-C947	乇	U+10C947	āḥ	
RJ-C949	囗	U+10C949	aṃ	
RJ-C94B	屮	U+10C94B	ba	
RJ-C954	仈	U+10C954	bhā	
RJ-C959	圠	U+10C959	bhe	
RJ-C963	丱	U+10C963	bhrūṃ	
RJ-C96F	圣	U+10C96F	bo	
RJ-C973	宄	U+10C973	bu	
RJ-C977	屳	U+10C977	ca	
RJ-C97B	忉	U+10C97B	caṃ	
RJ-C9BD	刓	U+10C9BD	cu	
RJ-C9BF	刐	U+10C9BF	cuṃ	
RJ-C9D2	奿	U+10C9D2	ddha	
RJ-C9D3	孖	U+10C9D3	ddhā	
RJ-C9D5	尥	U+10C9D5	de	
RJ-C9D9	屾	U+10C9D9	dha	
RJ-C9E7	扦	U+10C9E7	dhi	
RJ-C9E8	扢	U+10C9E8	dhī	
RJ-C9FA	汜	U+10C9FA	dhu	
RJ-CA4C	芀	U+10CA4C	dme	
RJ-CA57	阤	U+10CA57	drā	
RJ-CA5F	佤	U+10CA5F	dya	
RJ-CA62	佒	U+10CA62	ga	
RJ-CA6C	刜	U+10CA6C	gha	
RJ-CA70	劮	U+10CA70	ghaṃ	
RJ-CAAB	坅	U+10CAAB	gu	
RJ-CAAF	坒	U+10CAAF	ha	
RJ-CAB0	夆	U+10CAB0	hā	
RJ-CAB3	妘	U+10CAB3	haṃ	
RJ-CAC5	岒	U+10CAC5	hri	
RJ-CAC7	岆	U+10CAC7	hrīḥ	
RJ-CACB	帊	U+10CACB	hūṃ	
RJ-CAD2	弅	U+10CAD2	jaḥ	
RJ-CAF3	扷	U+10CAF3	jña	
RJ-CB4B	汸	U+10CB4B	jra	
RJ-CB4E	沄	U+10CB4E	jriṃ	
RJ-CB51	汱	U+10CB51	jva	
RJ-CB54	沚	U+10CB54	ka	
RJ-CB58	沜	U+10CB58	kaṃ	
RJ-CB5C	汻	U+10CB5C	kha	
RJ-CB60	牣	U+10CB60	khaṃ	
RJ-CB70	疕	U+10CB70	ki	
RJ-CB77	肒	U+10CB77	ko	
RJ-CBA2	芃	U+10CBA2	ksaṃ	
RJ-CBA8	邡	U+10CBA8	kṣiṃ	
RJ-CBBC	佷	U+10CBBC	la	
RJ-CBC2	侁	U+10CBC2	le	
RJ-CBC9	侂	U+10CBC9	lo	
RJ-CBD3	剆	U+10CBD3	ma	
RJ-CBD7	匋	U+10CBD7	maṃ	
RJ-CBE2	呺	U+10CBE2	mo	
RJ-CBE8	咍	U+10CBE8	mu	
RJ-CBEB	呠	U+10CBEB	mya	
RJ-CBED	呣	U+10CBED	na	
RJ-CBEE	呧	U+10CBEE	nā	
RJ-CBFE	坢	U+10CBFE	nāṃ	
RJ-CC4E	姖	U+10CC4E	ne	
RJ-CC54	姇	U+10CC54	ni	
RJ-CC5A	屇	U+10CC5A	ṇi	
RJ-CCBA	抮	U+10CCBA	oṃ	
RJ-CCBB	抳	U+10CCBB	pa	
RJ-CCBF	抰	U+10CCBF	paṃ	
RJ-CCC2	斨	U+10CCC2	pha	
RJ-CCDE	枌	U+10CCDE	pra	
RJ-CCDF	杺	U+10CCDF	pta	
RJ-CCE1	枑	U+10CCE1	pu	
RJ-CCE7	杹	U+10CCE7	ra	
RJ-CCE8	枔	U+10CCE8	rā	
RJ-CCEB	歾	U+10CCEB	raṃ	
RJ-CCF7	沷	U+10CCF7	re	
RJ-CCFB	泃	U+10CCFB	ri	
RJ-CD4E	泩	U+10CD4E	ro	
RJ-CD5E	狘	U+10CD5E	ru	
RJ-CD63	狚	U+10CD63	rya	
RJ-CD64	狌	U+10CD64	sa	
RJ-CD65	狑	U+10CD65	sā	
RJ-CD66	玤	U+10CD66	śa	
RJ-CD68	玭	U+10CD68	ṣa	
RJ-CD70	甿	U+10CD70	saṃ	
RJ-CD7C	矹	U+10CD7C	ś?	
RJ-CDB9	芧	U+10CDB9	sra	
RJ-CDC0	芡	U+10CDC0	ṣṭa	
RJ-CDC2	苂	U+10CDC2	ṣṭha	
RJ-CDC3	芤	U+10CDC3	ṣṭhi	
RJ-CDC5	芶	U+10CDC5	su	
RJ-CDCC	迒	U+10CDCC	svā	
RJ-CDCD	迋	U+10CDCD	śva	
RJ-CDD3	邲	U+10CDD3	ṭ	
RJ-CDD4	邴	U+10CDD4	ta	
RJ-CDD5	邯	U+10CDD5	tā	
RJ-CDD6	邳	U+10CDD6	ṭa	
RJ-CDE0	侲	U+10CDE0	te	
